Year,Country,Finish,Display
1998,France,Winner,🏆
1998,Brazil,Runner-up,2nd
1998,Croatia,3rd Place,3rd
1998,Netherlands,4th Place,4th
1998,Argentina,QF,QF
1998,Germany,QF,QF
1998,Italy,QF,QF
1998,Denmark,QF,QF
1998,England,R16,R16
1998,Romania,R16,R16
1998,Nigeria,R16,R16
1998,Mexico,R16,R16
1998,Paraguay,R16,R16
1998,Norway,R16,R16
1998,Chile,R16,R16
1998,Yugoslavia,R16,R16
1998,Spain,GRP,GRP
1998,Morocco,GRP,GRP
1998,Colombia,GRP,GRP
1998,Austria,GRP,GRP
1998,South Africa,GRP,GRP
1998,Cameroon,GRP,GRP
1998,Tunisia,GRP,GRP
1998,Scotland,GRP,GRP
1998,Saudi Arabia,GRP,GRP
1998,Bulgaria,GRP,GRP
1998,South Korea,GRP,GRP
1998,Belgium,GRP,GRP
1998,Iran,GRP,GRP
1998,Jamaica,GRP,GRP
1998,Japan,GRP,GRP
1998,United States,GRP,GRP
2002,Brazil,Winner,🏆
2002,Germany,Runner-up,2nd
2002,Turkey,3rd Place,3rd
2002,South Korea,4th Place,4th
2002,Spain,QF,QF
2002,England,QF,QF
2002,Senegal,QF,QF
2002,United States,QF,QF
2002,Mexico,R16,R16
2002,Denmark,R16,R16
2002,Sweden,R16,R16
2002,Belgium,R16,R16
2002,Japan,R16,R16
2002,Italy,R16,R16
2002,Paraguay,R16,R16
2002,Ireland,R16,R16
2002,Argentina,GRP,GRP
2002,France,GRP,GRP
2002,Portugal,GRP,GRP
2002,Russia,GRP,GRP
2002,Poland,GRP,GRP
2002,Croatia,GRP,GRP
2002,Ecuador,GRP,GRP
2002,Cameroon,GRP,GRP
2002,South Africa,GRP,GRP
2002,Slovenia,GRP,GRP
2002,Uruguay,GRP,GRP
2002,Costa Rica,GRP,GRP
2002,Tunisia,GRP,GRP
2002,Saudi Arabia,GRP,GRP
2002,China PR,GRP,GRP
2002,Nigeria,GRP,GRP
2006,Italy,Winner,🏆
2006,France,Runner-up,2nd
2006,Germany,3rd Place,3rd
2006,Portugal,4th Place,4th
2006,Brazil,QF,QF
2006,Argentina,QF,QF
2006,England,QF,QF
2006,Ukraine,QF,QF
2006,Spain,R16,R16
2006,Switzerland,R16,R16
2006,Netherlands,R16,R16
2006,Mexico,R16,R16
2006,Australia,R16,R16
2006,Ghana,R16,R16
2006,Ecuador,R16,R16
2006,Sweden,R16,R16
2006,Poland,GRP,GRP
